user_id,timestamp,anger,apathy,disgust,fear,joy,neutral,sadness,surprise
u001,2025-08-03,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0
u001,2025-08-10,0.15,0.0,0.0,0.2,0.25,0.25,0.1,0.05
u001,2025-08-17,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0
u002,2025-08-03,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
u002,2025-08-10,0.0,0.125,0.125,0.125,0.125,0.5,0.0,0.0
u002,2025-08-17,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25
u003,2025-08-03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
u003,2025-08-10,0.1,0.2,0.0,0.2,0.1,0.1,0.3,0.0
u003,2025-08-17,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
u004,2025-08-03,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0
u004,2025-08-10,0.3,0.1,0.0,0.1,0.3,0.0,0.1,0.1
u004,2025-08-17,0.2,0.2,0.0,0.4,0.0,0.0,0.2,0.0
u005,2025-08-03,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
u005,2025-08-10,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.3333333333333333
u005,2025-08-17,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
